Fe,C,Mn,Cu,Si,P,S,Mo,Ni,Cr,Through Hardening Time,Carburization Time,Normalizing Temperature,Cooling Rate for Tempering,Cooling Rate for Through Hardening,Tempering Temperature,Diffusion time,Quenching Media Temperature (for Carburization),Carburization Temperature,Diffusion Temperature,Reduction Ratio (Ingot to Bar),Through Hardening Temperature,Tempering Time,Fatigue Strength
98.613,0.34,0.74,0,0.26,0.017,0.015,0,0,0.02,30,0,865,24,24,550,0,30,30,30,1740,865,60,401
98.367,0.36,0.7,0.09,0.26,0.017,0.023,0,0.08,0.12,30,0,865,24,24,550,0,30,30,30,610,865,60,
98.61,0.33,0.75,0.02,0.21,0.017,0.019,0,0,0.03,30,0,865,24,24,550,0,30,30,30,825,865,60,426
98.34,0.38,0.7,0.11,0.29,0.017,0.03,0,0.06,0.09,30,0,865,24,24,550,0,30,30,30,610,865,60,426
98.484,0.33,0.76,0.03,0.26,0.017,0.013,0,0,0.1,30,0,865,24,24,550,0,30,30,30,1270,865,60,454
98.586,0.32,0.73,0.03,0.26,0.017,0.019,0,0.02,0.02,30,0,865,24,24,550,0,30,30,30,1740,865,60,
98.414,0.37,0.78,0.02,0.27,0.017,0.02,0,0,0.11,30,0,865,24,24,550,0,30,30,30,1270,865,60,416
98.511,0.35,0.82,0,0.25,0.017,0.023,0,0.03,0,30,0,865,24,24,550,0,30,30,30,825,865,60,395
98.575,0.37,0.72,0.02,0.24,0.017,0.02,0,0.02,0.02,30,0,865,24,24,550,0,30,30,30,1740,865,60,
98.583,0.32,0.63,0.08,0.21,0.017,0.017,0,0.06,0.1,30,0,865,24,24,550,0,30,30,30,610,865,60,379
98.607,0.35,0.77,0.02,0.21,0.017,0.022,0,0,0,30,0,865,24,24,600,0,30,30,30,825,865,60,382
98.469,0.35,0.74,0,0.3,0.017,0.024,0,0,0.1,30,0,865,24,24,600,0,30,30,30,1270,865,60,385
98.613,0.34,0.74,0,0.26,0.017,0.015,0,0,0.02,30,0,865,24,24,600,0,30,30,30,1740,865,60,365
98.367,0.36,0.7,0.09,0.26,0.017,0.023,0,0.08,0.12,30,0,865,24,24,600,0,30,30,30,610,865,60,379
98.61,0.33,0.75,0.02,0.21,0.017,0.019,0,0,0.03,30,0,865,24,24,600,0,30,30,30,825,865,60,377
98.34,0.38,0.7,0.11,0.29,0.017,0.03,0,0.06,0.09,30,0,865,24,24,600,0,30,30,30,610,865,60,394
98.484,0.33,0.76,0.03,0.26,0.017,0.013,0,0,0.1,30,0,865,24,24,600,0,30,30,30,1270,865,60,425
98.586,0.32,0.73,0.03,0.26,0.017,0.019,0,0.02,0.02,30,0,865,24,24,600,0,30,30,30,1740,865,60,395
98.414,0.37,0.78,0.02,0.27,0.017,0.02,0,0,0.11,30,0,865,24,24,600,0,30,30,30,1270,865,60,393
98.511,0.35,0.82,0,0.25,0.017,0.023,0,0.03,0,30,0,865,24,24,600,0,30,30,30,825,865,60,
98.575,0.37,0.72,0.02,0.24,0.017,0.02,0,0.02,0.02,30,0,865,24,24,600,0,30,30,30,1740,865,60,389
98.583,0.32,0.63,0.08,0.21,0.017,0.017,0,0.06,0.1,30,0,865,24,24,600,0,30,30,30,610,865,60,
98.607,0.35,0.77,0.02,0.21,0.017,0.022,0,0,0,30,0,865,24,24,650,0,30,30,30,825,865,60,
98.469,0.35,0.74,0,0.3,0.017,0.024,0,0,0.1,30,0,865,24,24,650,0,30,30,30,1270,865,60,369
98.613,0.34,0.74,0,0.26,0.017,0.015,0,0,0.02,30,0,865,24,24,650,0,30,30,30,1740,865,60,
98.367,0.36,0.7,0.09,0.26,0.017,0.023,0,0.08,0.12,30,0,865,24,24,650,0,30,30,30,610,865,60,
98.61,0.33,0.75,0.02,0.21,0.017,0.019,0,0,0.03,30,0,865,24,24,650,0,30,30,30,825,865,60,
98.34,0.38,0.7,0.11,0.29,0.017,0.03,0,0.06,0.09,30,0,865,24,24,650,0,30,30,30,610,865,60,
98.484,0.33,0.76,0.03,0.26,0.017,0.013,0,0,0.1,30,0,865,24,24,650,0,30,30,30,1270,865,60,
98.586,0.32,0.73,0.03,0.26,0.017,0.019,0,0.02,0.02,30,0,865,24,24,650,0,30,30,30,1740,865,60,348
98.414,0.37,0.78,0.02,0.27,0.017,0.02,0,0,0.11,30,0,865,24,24,650,0,30,30,30,1270,865,60,368
98.511,0.35,0.82,0,0.25,0.017,0.023,0,0.03,0,30,0,865,24,24,650,0,30,30,30,825,865,60,341
98.575,0.37,0.72,0.02,0.24,0.017,0.02,0,0.02,0.02,30,0,865,24,24,650,0,30,30,30,1740,865,60,365
98.583,0.32,0.63,0.08,0.21,0.017,0.017,0,0.06,0.1,30,0,865,24,24,650,0,30,30,30,610,865,60,325
98.306,0.45,0.79,0.02,0.25,0.017,0.016,0,0.02,0.13,30,0,845,24,24,550,0,30,30,30,1740,845,60,513
98.354,0.45,0.76,0.02,0.26,0.017,0.019,0,0,0.11,30,0,845,24,24,550,0,30,30,30,1270,845,60,448
98.29,0.45,0.71,0.13,0.24,0.017,0,0,0.12,0.06,30,0,845,24,24,550,0,30,30,30,610,845,60,465
98.388,0.44,0.82,0.02,0.24,0.017,0.021,0,0.03,0.02,30,0,845,24,24,550,0,30,30,30,825,845,60,
98.488,0.42,0.78,0.03,0.22,0.017,0.02,0,0,0.02,30,0,845,24,24,550,0,30,30,30,825,845,60,437
98.354,0.48,0.75,0,0.25,0.017,0.022,0,0.02,0.1,30,0,845,24,24,550,0,30,30,30,1740,845,60,
98.335,0.47,0.72,0.04,0.25,0.017,0,0,0.13,0.04,30,0,845,24,24,550,0,30,30,30,610,845,60,
98.367,0.43,0.83,0,0.22,0.017,0.016,0,0,0.12,30,0,845,24,24,550,0,30,30,30,1740,845,60,475
98.29,0.49,0.8,0,0.26,0.017,0.023,0,0.02,0.09,30,0,845,24,24,550,0,30,30,30,1270,845,60,504
98.164,0.45,0.79,0.15,0.25,0.017,0.025,0,0.12,0.04,30,0,845,24,24,550,0,30,30,30,610,845,60,486
98.496,0.42,0.7,0,0.26,0.017,0,0,0,0.1,30,0,845,24,24,550,0,30,30,30,1270,845,60,452
98.306,0.45,0.79,0.02,0.25,0.017,0.016,0,0.02,0.13,30,0,845,24,24,600,0,30,30,30,1740,845,60,459
98.354,0.45,0.76,0.02,0.26,0.017,0.019,0,0,0.11,30,0,845,24,24,600,0,30,30,30,1270,845,60,
98.29,0.45,0.71,0.13,0.24,0.017,0,0,0.12,0.06,30,0,845,24,24,600,0,30,30,30,610,845,60,437
98.388,0.44,0.82,0.02,0.24,0.017,0.021,0,0.03,0.02,30,0,845,24,24,600,0,30,30,30,825,845,60,415
98.488,0.42,0.78,0.03,0.22,0.017,0.02,0,0,0.02,30,0,845,24,24,600,0,30,30,30,825,845,60,401
98.354,0.48,0.75,0,0.25,0.017,0.022,0,0.02,0.1,30,0,845,24,24,600,0,30,30,30,1740,845,60,463
98.335,0.47,0.72,0.04,0.25,0.017,0,0,0.13,0.04,30,0,845,24,24,600,0,30,30,30,610,845,60,442
98.367,0.43,0.83,0,0.22,0.017,0.016,0,0,0.12,30,0,845,24,24,600,0,30,30,30,1740,845,60,
98.29,0.49,0.8,0,0.26,0.017,0.023,0,0.02,0.09,30,0,845,24,24,600,0,30,30,30,1270,845,60,468
98.164,0.45,0.79,0.15,0.25,0.017,0.025,0,0.12,0.04,30,0,845,24,24,600,0,30,30,30,610,845,60,
98.496,0.42,0.7,0,0.26,0.017,0,0,0,0.1,30,0,845,24,24,600,0,30,30,30,1270,845,60,422
98.306,0.45,0.79,0.02,0.25,0.017,0.016,0,0.02,0.13,30,0,845,24,24,650,0,30,30,30,1740,845,60,413
98.354,0.45,0.76,0.02,0.26,0.017,0.019,0,0,0.11,30,0,845,24,24,650,0,30,30,30,1270,845,60,
98.29,0.45,0.71,0.13,0.24,0.017,0,0,0.12,0.06,30,0,845,24,24,650,0,30,30,30,610,845,60,
98.388,0.44,0.82,0.02,0.24,0.017,0.021,0,0.03,0.02,30,0,845,24,24,650,0,30,30,30,825,845,60,378
98.488,0.42,0.78,0.03,0.22,0.017,0.02,0,0,0.02,30,0,845,24,24,650,0,30,30,30,825,845,60,372
98.354,0.48,0.75,0,0.25,0.017,0.022,0,0.02,0.1,30,0,845,24,24,650,0,30,30,30,1740,845,60,415
98.335,0.47,0.72,0.04,0.25,0.017,0,0,0.13,0.04,30,0,845,24,24,650,0,30,30,30,610,845,60,396
98.367,0.43,0.83,0,0.22,0.017,0.016,0,0,0.12,30,0,845,24,24,650,0,30,30,30,1740,845,60,
98.29,0.49,0.8,0,0.26,0.017,0.023,0,0.02,0.09,30,0,845,24,24,650,0,30,30,30,1270,845,60,
98.164,0.45,0.79,0.15,0.25,0.017,0.025,0,0.12,0.04,30,0,845,24,24,650,0,30,30,30,610,845,60,398
98.496,0.42,0.7,0,0.26,0.017,0,0,0,0.1,30,0,845,24,24,650,0,30,30,30,1270,845,60,
98.34,0.55,0.76,0,0.23,0.017,0.012,0,0,0.09,30,0,825,24,24,550,0,30,30,30,1740,825,60,523
98.257,0.54,0.76,0,0.26,0.017,0.021,0,0.02,0.12,30,0,825,24,24,550,0,30,30,30,1270,825,60,534
98.219,0.52,0.83,0.02,0.29,0.017,0.025,0,0.04,0.04,30,0,825,24,24,550,0,30,30,30,825,825,60,489
98.485,0.56,0.37,0.11,0.26,0.017,0.026,0,0.04,0.13,30,0,825,24,24,550,0,30,30,30,660,825,60,
98.478,0.54,0.75,0,0.2,0.017,0.019,0,0,0,30,0,825,24,24,550,0,30,30,30,825,825,60,495
98.285,0.57,0.74,0.02,0.23,0.017,0.017,0,0,0.12,30,0,825,24,24,550,0,30,30,30,1740,825,60,
98.155,0.53,0.83,0,0.3,0.017,0.026,0,0.02,0.12,30,0,825,24,24,550,0,30,30,30,1270,825,60,531
98.144,0.57,0.82,0,0.3,0.017,0.022,0,0.02,0.1,30,0,825,24,24,550,0,30,30,30,1270,825,60,533
98.327,0.56,0.68,0.03,0.25,0.017,0.023,0,0.03,0.1,30,0,825,24,24,550,0,30,30,30,610,825,60,492
98.288,0.52,0.8,0.02,0.21,0.017,0.021,0,0.02,0.1,30,0,825,24,24,550,0,30,30,30,1740,825,60,505
98.073,0.54,0.7,0.22,0.27,0.017,0.02,0,0.06,0.1,30,0,825,24,24,550,0,30,30,30,610,825,60,541
98.34,0.55,0.76,0,0.23,0.017,0.012,0,0,0.09,30,0,825,24,24,600,0,30,30,30,1740,825,60,468
98.257,0.54,0.76,0,0.26,0.017,0.021,0,0.02,0.12,30,0,825,24,24,600,0,30,30,30,1270,825,60,459
98.219,0.52,0.83,0.02,0.29,0.017,0.025,0,0.04,0.04,30,0,825,24,24,600,0,30,30,30,825,825,60,
98.485,0.56,0.37,0.11,0.26,0.017,0.026,0,0.04,0.13,30,0,825,24,24,600,0,30,30,30,660,825,60,458
98.478,0.54,0.75,0,0.2,0.017,0.019,0,0,0,30,0,825,24,24,600,0,30,30,30,825,825,60,445
98.285,0.57,0.74,0.02,0.23,0.017,0.017,0,0,0.12,30,0,825,24,24,600,0,30,30,30,1740,825,60,
98.155,0.53,0.83,0,0.3,0.017,0.026,0,0.02,0.12,30,0,825,24,24,600,0,30,30,30,1270,825,60,466
98.144,0.57,0.82,0,0.3,0.017,0.022,0,0.02,0.1,30,0,825,24,24,600,0,30,30,30,1270,825,60,
98.327,0.56,0.68,0.03,0.25,0.017,0.023,0,0.03,0.1,30,0,825,24,24,600,0,30,30,30,610,825,60,
98.288,0.52,0.8,0.02,0.21,0.017,0.021,0,0.02,0.1,30,0,825,24,24,600,0,30,30,30,1740,825,60,
98.073,0.54,0.7,0.22,0.27,0.017,0.02,0,0.06,0.1,30,0,825,24,24,600,0,30,30,30,610,825,60,475
98.34,0.55,0.76,0,0.23,0.017,0.012,0,0,0.09,30,0,825,24,24,650,0,30,30,30,1740,825,60,
98.257,0.54,0.76,0,0.26,0.017,0.021,0,0.02,0.12,30,0,825,24,24,650,0,30,30,30,1270,825,60,418
98.219,0.52,0.83,0.02,0.29,0.017,0.025,0,0.04,0.04,30,0,825,24,24,650,0,30,30,30,825,825,60,402
98.485,0.56,0.37,0.11,0.26,0.017,0.026,0,0.04,0.13,30,0,825,24,24,650,0,30,30,30,660,825,60,
98.478,0.54,0.75,0,0.2,0.017,0.019,0,0,0,30,0,825,24,24,650,0,30,30,30,825,825,60,411
98.285,0.57,0.74,0.02,0.23,0.017,0.017,0,0,0.12,30,0,825,24,24,650,0,30,30,30,1740,825,60,
98.155,0.53,0.83,0,0.3,0.017,0.026,0,0.02,0.12,30,0,825,24,24,650,0,30,30,30,1270,825,60,415
98.144,0.57,0.82,0,0.3,0.017,0.022,0,0.02,0.1,30,0,825,24,24,650,0,30,30,30,1270,825,60,425
98.327,0.56,0.68,0.03,0.25,0.017,0.023,0,0.03,0.1,30,0,825,24,24,650,0,30,30,30,610,825,60,
98.288,0.52,0.8,0.02,0.21,0.017,0.021,0,0.02,0.1,30,0,825,24,24,650,0,30,30,30,1740,825,60,410
98.073,0.54,0.7,0.22,0.27,0.017,0.02,0,0.06,0.1,30,0,825,24,24,650,0,30,30,30,610,825,60,
97.385,0.43,0.74,0.02,0.24,0.017,0.013,0,0.03,1.12,30,0,870,24,8,550,0,30,30,30,1740,855,60,582
97.58,0.42,0.71,0.04,0.27,0.017,0,0,0.02,0.96,30,0,870,24,8,550,0,30,30,30,820,855,60,524
97.198,0.4,0.78,0.13,0.31,0.017,0,0,0.07,1.1,30,0,870,24,8,550,0,30,30,30,1120,855,60,583
97.52,0.42,0.72,0,0.22,0.017,0.014,0,0.03,1.06,30,0,870,24,8,550,0,30,30,30,1740,855,60,
97.469,0.39,0.73,0.11,0.25,0.017,0,0,0.06,0.98,30,0,870,24,8,550,0,30,30,30,820,855,60,536
97.276,0.42,0.81,0.04,0.32,0.017,0,0,0.03,1.09,30,0,870,24,8,550,0,30,30,30,1120,855,60,577
97.51,0.42,0.78,0.05,0.26,0.017,0,0,0.04,0.94,30,0,870,24,8,550,0,30,30,30,820,855,60,565
97.286,0.4,0.79,0.04,0.32,0.017,0.011,0,0.05,1.09,30,0,870,24,8,550,0,30,30,30,1120,855,60,562
97.385,0.43,0.74,0.02,0.24,0.017,0.013,0,0.03,1.12,30,0,870,24,8,600,0,30,30,30,1740,855,60,
97.58,0.42,0.71,0.04,0.27,0.017,0,0,0.02,0.96,30,0,870,24,8,600,0,30,30,30,820,855,60,504
97.198,0.4,0.78,0.13,0.31,0.017,0,0,0.07,1.1,30,0,870,24,8,600,0,30,30,30,1120,855,60,
97.52,0.42,0.72,0,0.22,0.017,0.014,0,0.03,1.06,30,0,870,24,8,600,0,30,30,30,1740,855,60,517
97.469,0.39,0.73,0.11,0.25,0.017,0,0,0.06,0.98,30,0,870,24,8,600,0,30,30,30,820,855,60,
97.276,0.42,0.81,0.04,0.32,0.017,0,0,0.03,1.09,30,0,870,24,8,600,0,30,30,30,1120,855,60,518
97.51,0.42,0.78,0.05,0.26,0.017,0,0,0.04,0.94,30,0,870,24,8,600,0,30,30,30,820,855,60,524
97.286,0.4,0.79,0.04,0.32,0.017,0.011,0,0.05,1.09,30,0,870,24,8,600,0,30,30,30,1120,855,60,503
97.385,0.43,0.74,0.02,0.24,0.017,0.013,0,0.03,1.12,30,0,870,24,8,650,0,30,30,30,1740,855,60,
97.58,0.42,0.71,0.04,0.27,0.017,0,0,0.02,0.96,30,0,870,24,8,650,0,30,30,30,820,855,60,457
97.198,0.4,0.78,0.13,0.31,0.017,0,0,0.07,1.1,30,0,870,24,8,650,0,30,30,30,1120,855,60,
97.52,0.42,0.72,0,0.22,0.017,0.014,0,0.03,1.06,30,0,870,24,8,650,0,30,30,30,1740,855,60,
97.469,0.39,0.73,0.11,0.25,0.017,0,0,0.06,0.98,30,0,870,24,8,650,0,30,30,30,820,855,60,
97.276,0.42,0.81,0.04,0.32,0.017,0,0,0.03,1.09,30,0,870,24,8,650,0,30,30,30,1120,855,60,490
97.51,0.42,0.78,0.05,0.26,0.017,0,0,0.04,0.94,30,0,870,24,8,650,0,30,30,30,820,855,60,
97.286,0.4,0.79,0.04,0.32,0.017,0.011,0,0.05,1.09,30,0,870,24,8,650,0,30,30,30,1120,855,60,
97.167,0.36,0.73,0.19,0.3,0.017,0.016,0.16,0.05,1.01,30,0,870,24,8,550,0,30,30,30,820,855,60,587
97.419,0.35,0.7,0,0.3,0.017,0.012,0.15,0.02,1.03,30,0,870,24,8,550,0,30,30,30,1250,855,60,571
97.298,0.36,0.79,0.04,0.27,0.017,0,0.17,0.03,1.03,30,0,870,24,8,550,0,30,30,30,1120,855,60,
97.284,0.36,0.81,0.08,0.23,0.017,0.022,0.16,0.05,0.99,30,0,870,24,8,550,0,30,30,30,530,855,60,526
97.26,0.34,0.72,0.1,0.25,0.017,0.011,0.17,0.12,1.01,30,0,870,24,8,550,0,30,30,30,500,855,60,535
97.224,0.36,0.74,0.12,0.35,0.017,0.02,0.15,0.05,0.97,30,0,870,24,8,550,0,30,30,30,740,855,60,572
97.211,0.37,0.82,0.05,0.23,0.017,0.017,0.16,0.04,1.09,30,0,870,24,8,550,0,30,30,30,530,855,60,562
97.123,0.35,0.8,0.18,0.25,0.017,0.017,0.19,0.08,0.99,30,0,870,24,8,550,0,30,30,30,1120,855,60,
97.387,0.35,0.71,0.02,0.25,0.017,0.013,0.17,0.02,1.06,30,0,870,24,8,550,0,30,30,30,1740,855,60,
97.435,0.33,0.69,0.05,0.27,0.017,0,0.18,0.04,0.99,30,0,870,24,8,550,0,30,30,30,640,855,60,585
97.476,0.35,0.7,0.02,0.25,0.017,0.018,0.16,0,1,30,0,870,24,8,550,0,30,30,30,820,855,60,592
97.153,0.37,0.76,0.12,0.29,0.017,0,0.16,0.12,1.01,30,0,870,24,8,550,0,30,30,30,500,855,60,
97.103,0.38,0.8,0.12,0.27,0.017,0.012,0.16,0.07,1.07,30,0,870,24,8,550,0,30,30,30,1120,855,60,536
97.188,0.34,0.71,0.12,0.29,0.017,0.013,0.16,0.11,1.05,30,0,870,24,8,550,0,30,30,30,500,855,60,557
97.167,0.36,0.73,0.19,0.3,0.017,0.016,0.16,0.05,1.01,30,0,870,24,8,600,0,30,30,30,820,855,60,552
97.419,0.35,0.7,0,0.3,0.017,0.012,0.15,0.02,1.03,30,0,870,24,8,600,0,30,30,30,1250,855,60,519
97.298,0.36,0.79,0.04,0.27,0.017,0,0.17,0.03,1.03,30,0,870,24,8,600,0,30,30,30,1120,855,60,524
97.284,0.36,0.81,0.08,0.23,0.017,0.022,0.16,0.05,0.99,30,0,870,24,8,600,0,30,30,30,530,855,60,
97.26,0.34,0.72,0.1,0.25,0.017,0.011,0.17,0.12,1.01,30,0,870,24,8,600,0,30,30,30,500,855,60,490
97.224,0.36,0.74,0.12,0.35,0.017,0.02,0.15,0.05,0.97,30,0,870,24,8,600,0,30,30,30,740,855,60,550
97.211,0.37,0.82,0.05,0.23,0.017,0.017,0.16,0.04,1.09,30,0,870,24,8,600,0,30,30,30,530,855,60,515
97.123,0.35,0.8,0.18,0.25,0.017,0.017,0.19,0.08,0.99,30,0,870,24,8,600,0,30,30,30,1120,855,60,
97.387,0.35,0.71,0.02,0.25,0.017,0.013,0.17,0.02,1.06,30,0,870,24,8,600,0,30,30,30,1740,855,60,546
97.435,0.33,0.69,0.05,0.27,0.017,0,0.18,0.04,0.99,30,0,870,24,8,600,0,30,30,30,640,855,60,535
97.476,0.35,0.7,0.02,0.25,0.017,0.018,0.16,0,1,30,0,870,24,8,600,0,30,30,30,820,855,60,550
97.153,0.37,0.76,0.12,0.29,0.017,0,0.16,0.12,1.01,30,0,870,24,8,600,0,30,30,30,500,855,60,542
97.103,0.38,0.8,0.12,0.27,0.017,0.012,0.16,0.07,1.07,30,0,870,24,8,600,0,30,30,30,1120,855,60,592
97.188,0.34,0.71,0.12,0.29,0.017,0.013,0.16,0.11,1.05,30,0,870,24,8,600,0,30,30,30,500,855,60,
97.167,0.36,0.73,0.19,0.3,0.017,0.016,0.16,0.05,1.01,30,0,870,24,8,650,0,30,30,30,820,855,60,
97.419,0.35,0.7,0,0.3,0.017,0.012,0.15,0.02,1.03,30,0,870,24,8,650,0,30,30,30,1250,855,60,491
97.298,0.36,0.79,0.04,0.27,0.017,0,0.17,0.03,1.03,30,0,870,24,8,650,0,30,30,30,1120,855,60,463
97.284,0.36,0.81,0.08,0.23,0.017,0.022,0.16,0.05,0.99,30,0,870,24,8,650,0,30,30,30,530,855,60,464
97.26,0.34,0.72,0.1,0.25,0.017,0.011,0.17,0.12,1.01,30,0,870,24,8,650,0,30,30,30,500,855,60,459
97.224,0.36,0.74,0.12,0.35,0.017,0.02,0.15,0.05,0.97,30,0,870,24,8,650,0,30,30,30,740,855,60,489
97.211,0.37,0.82,0.05,0.23,0.017,0.017,0.16,0.04,1.09,30,0,870,24,8,650,0,30,30,30,530,855,60,477
97.123,0.35,0.8,0.18,0.25,0.017,0.017,0.19,0.08,0.99,30,0,870,24,8,650,0,30,30,30,1120,855,60,469
97.387,0.35,0.71,0.02,0.25,0.017,0.013,0.17,0.02,1.06,30,0,870,24,8,650,0,30,30,30,1740,855,60,496
97.435,0.33,0.69,0.05,0.27,0.017,0,0.18,0.04,0.99,30,0,870,24,8,650,0,30,30,30,640,855,60,
97.476,0.35,0.7,0.02,0.25,0.017,0.018,0.16,0,1,30,0,870,24,8,650,0,30,30,30,820,855,60,511
97.153,0.37,0.76,0.12,0.29,0.017,0,0.16,0.12,1.01,30,0,870,24,8,650,0,30,30,30,500,855,60,490
97.103,0.38,0.8,0.12,0.27,0.017,0.012,0.16,0.07,1.07,30,0,870,24,8,650,0,30,30,30,1120,855,60,523
97.188,0.34,0.71,0.12,0.29,0.017,0.013,0.16,0.11,1.05,30,0,870,24,8,650,0,30,30,30,500,855,60,
97.201,0.41,0.77,0.05,0.24,0.017,0.015,0.2,0.04,1.06,30,0,870,24,8,550,0,30,30,30,530,855,60,
97.111,0.39,0.86,0.12,0.27,0.017,0,0.17,0.1,0.96,30,0,870,24,8,550,0,30,30,30,500,855,60,581
97.209,0.43,0.74,0.02,0.26,0.017,0.012,0.22,0.02,1.07,30,0,870,24,8,550,0,30,30,30,1740,855,60,625
97.222,0.4,0.77,0.13,0.26,0.017,0,0.17,0.05,0.98,30,0,870,24,8,550,0,30,30,30,610,855,60,562
97.181,0.41,0.8,0.1,0.24,0.017,0.024,0.18,0.03,1.02,30,0,870,24,8,550,0,30,30,30,510,855,60,635
97.288,0.41,0.74,0.08,0.25,0.017,0.019,0.16,0.05,0.99,30,0,870,24,8,550,0,30,30,30,700,855,60,566
97.011,0.39,0.77,0.15,0.28,0.017,0.018,0.19,0.09,1.08,30,0,870,24,8,550,0,30,30,30,1120,855,60,
97.436,0.37,0.69,0.02,0.24,0.017,0.016,0.19,0.02,1,30,0,870,24,8,550,0,30,30,30,1740,855,60,606
97.028,0.42,0.77,0.09,0.29,0.017,0.017,0.15,0.12,1.1,30,0,870,24,8,550,0,30,30,30,500,855,60,582
97.135,0.42,0.75,0.12,0.28,0.017,0,0.17,0.07,1.04,30,0,870,24,8,550,0,30,30,30,820,855,60,634
97.099,0.4,0.74,0.15,0.26,0.017,0.017,0.17,0.13,1.01,30,0,870,24,8,550,0,30,30,30,500,855,60,585
97.034,0.4,0.87,0.11,0.25,0.017,0.015,0.18,0.07,1.06,30,0,870,24,8,550,0,30,30,30,700,855,60,603
97.41,0.4,0.7,0.12,0.22,0.017,0,0.17,0.04,0.94,30,0,870,24,8,550,0,30,30,30,820,855,60,
97.088,0.4,0.74,0.1,0.25,0.017,0.028,0.18,0.24,0.96,30,0,870,24,8,550,0,30,30,30,510,855,60,631
97.221,0.44,0.75,0.02,0.26,0.017,0.012,0.21,0.02,1.05,30,0,870,24,8,550,0,30,30,30,1740,855,60,625
97.201,0.41,0.77,0.05,0.24,0.017,0.015,0.2,0.04,1.06,30,0,870,24,8,600,0,30,30,30,530,855,60,551
97.111,0.39,0.86,0.12,0.27,0.017,0,0.17,0.1,0.96,30,0,870,24,8,600,0,30,30,30,500,855,60,539
97.209,0.43,0.74,0.02,0.26,0.017,0.012,0.22,0.02,1.07,30,0,870,24,8,600,0,30,30,30,1740,855,60,
97.222,0.4,0.77,0.13,0.26,0.017,0,0.17,0.05,0.98,30,0,870,24,8,600,0,30,30,30,610,855,60,550
97.181,0.41,0.8,0.1,0.24,0.017,0.024,0.18,0.03,1.02,30,0,870,24,8,600,0,30,30,30,510,855,60,590
97.288,0.41,0.74,0.08,0.25,0.017,0.019,0.16,0.05,0.99,30,0,870,24,8,600,0,30,30,30,700,855,60,527
97.011,0.39,0.77,0.15,0.28,0.017,0.018,0.19,0.09,1.08,30,0,870,24,8,600,0,30,30,30,1120,855,60,557
97.436,0.37,0.69,0.02,0.24,0.017,0.016,0.19,0.02,1,30,0,870,24,8,600,0,30,30,30,1740,855,60,551
97.028,0.42,0.77,0.09,0.29,0.017,0.017,0.15,0.12,1.1,30,0,870,24,8,600,0,30,30,30,500,855,60,583
97.135,0.42,0.75,0.12,0.28,0.017,0,0.17,0.07,1.04,30,0,870,24,8,600,0,30,30,30,820,855,60,
97.099,0.4,0.74,0.15,0.26,0.017,0.017,0.17,0.13,1.01,30,0,870,24,8,600,0,30,30,30,500,855,60,543
97.034,0.4,0.87,0.11,0.25,0.017,0.015,0.18,0.07,1.06,30,0,870,24,8,600,0,30,30,30,700,855,60,543
97.41,0.4,0.7,0.12,0.22,0.017,0,0.17,0.04,0.94,30,0,870,24,8,600,0,30,30,30,820,855,60,563
97.088,0.4,0.74,0.1,0.25,0.017,0.028,0.18,0.24,0.96,30,0,870,24,8,600,0,30,30,30,510,855,60,577
